product_id	product_name	category	replacement_priority	current_problem	visual_concept	image_generation_prompt	negative_prompt	recommended_crop
1	리얼 스팀 수비드 닭가슴살 오리지널 100g	닭가슴살·고단백 식품	P2	구운 닭가슴살 사진이 3개 상품에 반복되어 수비드 오리지널의 고유성이 없음	촉촉한 수비드 원형 필렛과 맑은 육즙	A single fully cooked sous-vide chicken breast fillet on an oval ivory ceramic plate, one clean slice revealing a moist tender interior, a light natural jus, minimal thyme and blanched asparagus, pale warm-beige tabletop, no heavy grill marks. Premium wellness food commercial photography, soft bright natural window light, ivory and warm beige palette with a subtle muted-green accent, clean fresh styling, realistic appetizing texture, centered hero composition, generous crop-safe margin, high-end online grocery product-card image, square frame.	dark or underexposed, oversaturated, raw chicken, heavy char, factory, warehouse, manufacturing process, bulk bin, bucket, metal scoop, industrial container, blog or editorial stock-photo look, text, letters, logo, watermark, fake Korean packaging copy, human face, hands, medical or laboratory scene, clutter, cropped hero subject, low resolution, blur, CGI, plastic-looking food	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
2	그릴드 훈제 닭가슴살 슬라이스 칠리페퍼 120g	닭가슴살·고단백 식품	P2	1·5번과 동일한 통구이 사진이며 슬라이스와 칠리 시즈닝이 보이지 않음	부채꼴 훈제 슬라이스와 붉은 칠리 포인트	Thin fully cooked smoked chicken-breast slices arranged in a neat fan on a round warm-beige plate, visible smoky browned edges, restrained red chili flakes and roasted red pepper slivers, one muted-green herb sprig, clearly different from a whole sous-vide fillet. Premium wellness food commercial photography, soft bright natural window light, ivory and warm beige palette, clean fresh styling, realistic juicy texture, centered crop-safe composition, square online grocery hero image.	dark or underexposed, oversaturated, raw chicken, whole unsliced breast, chicken chips, factory, warehouse, bulk container, metal scoop, blog stock photo, text, logo, watermark, fake Korean packaging copy, human face, hands, medical scene, clutter, cropped food, low resolution, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
5	순수 단백 100% 동결건조 닭가슴살 칩 30g	닭가슴살·고단백 식품	P2	동결건조 칩이 아니라 구운 닭가슴살이며 1·2번과 동일 이미지	가볍고 바삭한 닭가슴살 칩 스낵 볼	A small matte ivory ceramic bowl filled with thin freeze-dried chicken-breast chips, pale golden edges, airy porous texture and several broken pieces showing crispness, a folded beige linen and one tiny muted-green herb accent, no plated chicken steak. Premium wellness snack commercial photography, bright soft natural light, clean warm-beige set, centered bowl, highly realistic edible texture, square crop-safe product-card composition.	dark image, oversaturation, raw meat, grilled chicken breast, sliced smoked chicken, oily fried chips, factory, bulk tub, metal scoop, industrial vessel, text, logo, watermark, fake Korean copy, people, hands, medical imagery, clutter, cropped bowl, low resolution, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
9	프로틴 흰살생선 대구살 큐브 120g	닭가슴살·고단백 식품	P1	성에 낀 생대구 원물 클로즈업으로 완성 상품과 구매 장면을 상상하기 어려움	노릇하게 익힌 한입 대구 큐브 플레이트	Fully cooked bite-size cod cubes with delicate golden seared surfaces and flaky white interiors, arranged at the center of an ivory ceramic plate with a restrained lemon wedge, dill and a few green peas, clean appetizing plating, no raw or frozen fish. Premium wellness food commercial photography, bright diffused natural window light, warm beige background, realistic moist fish texture, centered square composition with generous safe margins.	dark, oversaturated, raw fish, frozen fillet, frost, ice, whole fish, factory, market display, bulk bin, metal scoop, industrial container, blog reference photo, text, logo, watermark, human face, hands, medical scene, clutter, cropped food, low resolution, blur, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
10	부드러운 소고기 우둔살 슬라이스 100g	닭가슴살·고단백 식품	P2	13번 도시락과 동일한 통스테이크 사진이며 슬라이스 형태가 보이지 않음	얇게 겹친 부드러운 우둔살 슬라이스	Thin fully cooked beef round slices gently overlapped on a pale stoneware plate, moist tender cut surfaces, light pepper and a small muted-green watercress garnish, minimal jus, no steak slab and no lunchbox. Premium wellness protein-food commercial photography, soft bright natural light, ivory and warm beige styling, realistic appetizing meat texture, centered crop-safe square frame.	dark, oversaturated, raw beef, rare bloody meat, whole steak slab, divided lunchbox, factory, warehouse, bulk container, blog stock photo, text, logo, watermark, fake Korean copy, people, hands, medical scene, clutter, cropped subject, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
11	저당 곤약 현미 닭가슴살 볶음밥 도시락 250g	도시락·간편식	P3	탁하고 평평한 색감의 하이난 치킨라이스 자료사진으로 음식이 맛없어 보이며 곤약 현미 볶음밥 도시락의 구성도 전달되지 않음	윤기 있는 곤약 현미 볶음밥과 닭가슴살 큐브 도시락	An appetizing prepared meal in a clean shallow ivory lunch tray: glossy but light konjac brown-rice fried rice with visible grains, golden chicken-breast cubes, diced carrot, peas and crisp broccoli, balanced portions and fresh steam, clearly a modern healthy ready meal. Premium wellness food commercial photography, soft bright natural window light, warm beige tabletop and subtle muted-green napkin, centered square composition with the full tray crop-safe.	dull gray food, dry rice, greasy rice, Hainanese chicken rice, raw ingredients, dark lighting, oversaturation, factory, cafeteria, blog reference photo, text, logo, watermark, fake Korean packaging copy, people, hands, medical scene, clutter, cropped tray, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
13	소고기 우둔살 & 구운 야채 클린 도시락 280g	도시락·간편식	P2	10번과 동일 이미지이고 도시락 구성과 구운 야채 비중이 드러나지 않음	분할 도시락의 우둔살과 컬러 구운 채소	A complete clean meal in a rectangular ivory divided lunchbox: tender beef round slices in one section, roasted zucchini, yellow pumpkin, broccoli and red pepper in another, a small portion of brown rice, tidy colorful composition distinct from a plated beef-only dish. Premium wellness ready-meal commercial photography, bright natural window light, warm beige background, fresh realistic textures, centered square card composition with full tray visible.	dark, oversaturated, raw beef, whole steak, empty tray, factory, cafeteria, blog stock photo, text, logo, watermark, fake Korean copy, people, hands, medical scene, clutter, cropped lunchbox, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
18	단백질 듬뿍 오트밀 닭가슴살 영양죽 280g	도시락·간편식	P1	회갈색 묽은 죽이 밋밋하고 닭가슴살이나 영양 구성이 보이지 않아 구매 욕구가 낮음	크리미한 오트밀 영양죽과 결이 보이는 닭고기	A creamy warm oatmeal porridge in a shallow ivory bowl, visibly wholesome oat texture, topped with tender shredded chicken breast, tiny carrot cubes, scallion rings and a few toasted oat flakes, subtle steam and glossy appetizing surface. Premium wellness food commercial photography, soft bright morning window light, warm beige linen and muted-green accent, centered crop-safe square composition.	gray watery porridge, lumpy paste, raw chicken, dark lighting, oversaturation, factory, cafeteria, bulk pot, metal ladle, blog reference photo, text, logo, watermark, people, hands, medical scene, clutter, cropped bowl, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
19	지중해식 구운 병아리콩 & 가지 그라탕 220g	도시락·간편식	P1	여러 반찬이 섞인 식당 자료사진으로 병아리콩·가지 그라탕이 무엇인지 명확하지 않음	타원 오븐 접시의 가지 층과 병아리콩 그라탕	A small oval ivory baking dish containing a fully cooked Mediterranean eggplant and chickpea gratin, visible layered eggplant slices and whole chickpeas, lightly browned savory top, a few parsley leaves and roasted tomato, single focused dish only. Premium wellness ready-meal commercial photography, bright soft natural light, warm beige tabletop, realistic appetizing baked texture, centered square crop-safe composition.	multiple unrelated side dishes, buffet plate, restaurant snapshot, raw eggplant, dark or burnt food, oversaturated colors, factory, text, logo, watermark, people, hands, medical scene, clutter, cropped baking dish, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
20	고구마 닭가슴살 소시지 플래터 도시락 270g	도시락·간편식	P2	고구마 조각만 보이고 핵심인 닭가슴살 소시지와 도시락 구성이 없음	고구마 큐브와 닭가슴살 소시지 코인의 균형 플래터	A complete healthy platter in a shallow ivory meal tray, golden roasted sweet-potato cubes beside sliced chicken-breast sausage coins with lightly browned edges, fresh green beans and baby spinach for contrast, all elements clearly visible. Premium wellness food commercial photography, soft bright natural window light, warm beige set, appetizing realistic texture, centered square crop-safe composition.	only sweet potato, raw sausage, greasy processed meat, dark lighting, oversaturation, factory, cafeteria, blog snapshot, text, logo, watermark, fake Korean packaging, people, hands, medical scene, clutter, cropped tray, blur, low resolution, CGI	1:1 square; ProductCard uses object-fit: cover; keep the complete hero subject and key ingredients within the central 80% safe area for 5% hover zoom
