product_id	product_name	category	image_url	A_identifiability	B_desirability	C_ad_suitability	D_name_match	E_composition_quality	total	classification	current_image_issue	image_direction	force_replace_reason
1	리얼 스팀 수비드 닭가슴살 오리지널 100g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1532550907401-a500c9a57435?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	구운 닭가슴살 사진이 3개 상품에 반복되어 수비드 오리지널의 고유성이 없음	아이보리 접시에 촉촉한 수비드 닭가슴살 한 팩 분량을 중앙에 놓고 단면과 맑은 육즙을 보여주는 밝은 자연광 식품 광고 사진	duplicate URL
2	그릴드 훈제 닭가슴살 슬라이스 칠리페퍼 120g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1532550907401-a500c9a57435?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	1·5번과 동일한 통구이 사진이며 슬라이스와 칠리 시즈닝이 보이지 않음	베이지 접시에 칠리페퍼가 보이는 훈제 닭가슴살 슬라이스를 부채꼴로 담은 밝은 자연광 완성 음식 사진	duplicate URL
3	한입 닭가슴살 볼 치즈 쏙쏙 100g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1529042410759-befb1204b468?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	완성된 미트볼 형태와 먹음직스러운 플레이팅이 상품과 잘 맞음	-	-
4	촉촉 닭가슴살 소시지 바질페스토 70g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1585325701165-351af916e581?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	KEEP	완성 소시지는 명확하나 바질페스토 표현은 약함	-	-
5	순수 단백 100% 동결건조 닭가슴살 칩 30g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1532550907401-a500c9a57435?w=600&auto=format&fit=crop&q=80	1	2	2	0	2	7	REPLACE	동결건조 칩이 아니라 구운 닭가슴살이며 1·2번과 동일 이미지	작은 세라믹 볼에 바삭한 닭가슴살 칩을 담고 몇 조각의 가벼운 질감과 단면이 선명한 밝은 스낵 광고 사진	title mismatch; duplicate URL
6	블랙페퍼 안심 스테이크 130g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1598515214211-89d3c73ae83b?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	완성된 구이와 채소 플레이팅이 상품명에 잘 부합함	-	-
7	비건 대두단백 패티 가든 오리지널 110g	닭가슴살·고단백 식품	https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/Beyond_Meat_Beast_Burger_1.jpg/960px-Beyond_Meat_Beast_Burger_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	2	2	8	KEEP	패티 식별과 일치도는 높지만 자료사진 느낌이 조금 남음	-	-
8	저염 닭가슴살 만두 메밀피 168g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	완성 만두가 중앙에 선명하고 상품과 자연스럽게 일치함	-	-
9	프로틴 흰살생선 대구살 큐브 120g	닭가슴살·고단백 식품	https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Frozen_cod_fillet_%2820240124%29.jpg/960px-Frozen_cod_fillet_%2820240124%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	0	0	1	1	3	REPLACE	성에 낀 생대구 원물 클로즈업으로 완성 상품과 구매 장면을 상상하기 어려움	아이보리 접시에 노릇하게 조리한 대구살 큐브를 중앙에 담고 레몬과 허브를 절제해 곁들인 밝은 완성 음식 사진	raw ingredient
10	부드러운 소고기 우둔살 슬라이스 100g	닭가슴살·고단백 식품	https://images.unsplash.com/photo-1544025162-d76694265947?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	13번 도시락과 동일한 통스테이크 사진이며 슬라이스 형태가 보이지 않음	밝은 베이지 접시에 얇고 부드러운 우둔살 슬라이스를 겹쳐 담고 단면을 보여주는 자연광 광고 사진	duplicate URL
11	저당 곤약 현미 닭가슴살 볶음밥 도시락 250g	도시락·간편식	https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8b/Home-cooked_Hainanese_chicken_rice.jpg/960px-Home-cooked_Hainanese_chicken_rice.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	1	0	0	1	2	4	REPLACE	탁하고 평평한 색감의 하이난 치킨라이스 자료사진으로 음식이 맛없어 보이며 곤약 현미 볶음밥 도시락의 구성도 전달되지 않음	아이보리 도시락 용기에 윤기 있는 곤약 현미 볶음밥과 노릇한 큐브 닭가슴살·초록 채소를 정돈해 담은 밝은 자연광 완성식 사진	unappetizing food; blog/reference style
12	퀴노아 렌틸콩 샐러드 보울 & 발사믹 210g	도시락·간편식	https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	KEEP	풍성한 샐러드 보울이 밝고 신선하며 상품 유형과 잘 맞음	-	-
13	소고기 우둔살 & 구운 야채 클린 도시락 280g	도시락·간편식	https://images.unsplash.com/photo-1544025162-d76694265947?w=600&auto=format&fit=crop&q=80	2	2	2	1	2	9	REPLACE	10번과 동일 이미지이고 도시락 구성과 구운 야채 비중이 드러나지 않음	사각 아이보리 도시락에 우둔살 슬라이스와 단호박·브로콜리 구운 채소를 균형 있게 담은 자연광 사진	duplicate URL
14	컬리플라워 라이스 두부 버섯 덮밥 230g	도시락·간편식	https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/Tofu_%26_Mushroom_Curry_Don_%28V%29_-_Sunoso_2023-11-28.jpg/960px-Tofu_%26_Mushroom_Curry_Don_%28V%29_-_Sunoso_2023-11-28.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	1	1	2	2	8	KEEP	두부·버섯 덮밥 식별은 좋으나 일반 식당 자료사진 느낌이 남음	-	-
15	단호박 닭가슴살 영양솥밥 브리또 140g	도시락·간편식	https://images.unsplash.com/photo-1626700051175-6818013e1d4f?w=600&auto=format&fit=crop&q=80	2	2	2	2	2	10	KEEP	브리또 단면과 완성 형태가 선명하고 먹음직스러움	-	-
16	저염 맑은 닭곰탕 곤약국수 320g	도시락·간편식	https://thumb.wikimedia.org/wikipedia/commons/thumb/9/90/Chicken_with_Noodles_Soup_-_Noodles_Soup_2023-10-24.jpg/960px-Chicken_with_Noodles_Soup_-_Noodles_Soup_2023-10-24.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	2	2	1	2	2	9	KEEP	맑은 닭국수의 섭취 형태가 분명하고 구도가 안정적임	-	-
17	수비드 연어 스테이크 & 보리 리조또 260g	도시락·간편식	https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=600&auto=format&fit=crop&q=80	2	2	1	1	2	8	KEEP	연어는 훌륭하나 보리 리조또가 프레임에서 거의 보이지 않음	-	-
